Nordwandschacht
SURVEY NAME: Nordwandschacht
SURVEY DATE: 8 13 2023  COMMENT: Gr��te Halle Osterreich
SURVEY TEAM: 
Tanguy Racine Peter Jeutter Robin Jeutter
DECLINATION:    0.00  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

             nw.1.15              nw.1.16    34.19   295.30    -8.90    93.74    83.44    75.22   133.18
             nw.1.16              nw.1.17    90.43   208.60   -19.80    54.67    64.99    10.21   122.38
             nw.1.16            nw.1.16.1    72.77   282.30    -6.80   113.74    64.99    10.21   138.91
           nw.1.16.1            nw.1.16.2    55.28   349.80     7.80    64.79    41.96     0.00    76.61
             nw.1.17              nw.1.18    31.89   292.00     3.20    78.03    69.53    15.34    75.39
             nw.1.18              nw.1.19    39.79   252.50   -18.50    98.81    61.03    24.42    79.41
             nw.1.19              nw.1.20    60.82   296.00    -6.70   143.82    32.79    68.85     9.35
             nw.1.20            nw.1.20.1    48.48   333.40     1.10    95.93    20.19    37.96     4.81
             nw.1.20              nw.1.21    58.65   273.40   -22.90   118.12    20.19    37.96    44.67
             nw.1.21              nw.1.22    57.37   201.50   -30.30    97.56    20.62    50.12    56.22
             nw.1.22              nw.1.23    72.09   243.50   -18.20    86.63    42.23    14.96    30.45
             nw.1.23            nw.1.23.1    29.61   239.20   -17.20   122.73    17.90    63.80     4.71
           nw.1.23.1            nw.1.23.2    14.19   338.60   -25.70    12.90     0.00    14.00     4.06
           nw.1.23.2            nw.1.23.3    16.16   296.10   -25.20    32.98     2.38    15.41    31.01
           nw.1.23.3            nw.1.23.4    11.07   277.10   -35.20    21.60     2.41    12.46    19.28
           nw.1.23.2            nw.1.23.5    30.67   203.60   -13.70     1.24     2.38    15.41    27.46
           nw.1.23.5              nw.1.24    36.13   234.40   -28.40   101.71     4.64    53.62     4.96
             nw.1.24              nw.1.25    32.28   224.20   -26.40   104.72     4.31    40.46    27.73
             nw.1.25            nw.1.25.1    36.20   305.80   -13.60   140.46    18.06    22.56     7.77
             nw.1.25              nw.1.26    71.48   226.10    -0.60   121.99    18.06    22.56    42.35
             nw.1.26              nw.1.27    26.10   218.30   -13.60    58.98    38.65    18.93    21.67
             nw.1.27              nw.1.28    65.11   213.80   -29.80    27.70    42.50    43.93    13.30
             nw.1.28              nw.1.29    30.88   215.30   -27.90     8.77    45.12    12.97    16.61
